classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.8125,0.5813725490196079,0.22222222222222224,0.5813725490196079,0.17647058823529413,0.3
Linear SVM,0.8839285714285714,0.6205882352941177,0.3157894736842105,0.6205882352941177,0.3333333333333333,0.3
RBF SVM,0.8839285714285714,0.6205882352941177,0.3157894736842105,0.6205882352941177,0.3333333333333333,0.3
Gaussian Process,0.8839285714285714,0.6205882352941177,0.3157894736842105,0.6205882352941177,0.3333333333333333,0.3
Decision Tree,0.4107142857142857,0.3156862745098039,0.05714285714285715,0.31568627450980397,0.03333333333333333,0.2
Random Forest,0.8392857142857143,0.5058823529411764,0.10000000000000002,0.5058823529411764,0.1,0.1
Neural Net,0.8839285714285714,0.6205882352941177,0.3157894736842105,0.6205882352941177,0.3333333333333333,0.3
AdaBoost,0.8214285714285714,0.8117647058823529,0.4444444444444444,0.8117647058823529,0.3076923076923077,0.8
Naive Bayes,0.9107142857142857,0.5,0.0,0.5,0.0,0.0
QDA,0.9107142857142857,0.5,0.0,0.5,0.0,0.0
Logistic Regression,0.875,0.615686274509804,0.3,0.615686274509804,0.3,0.3
Ridge Classifier,0.875,0.615686274509804,0.3,0.615686274509804,0.3,0.3
