classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.9728260869565217,0.49880573248407645,0.0,0.49880573248407645,0.0,0.0
Linear SVM,0.9751552795031055,0.5,0.0,0.5,0.0,0.0
RBF SVM,0.9751552795031055,0.5,0.0,0.5,0.0,0.0
Gaussian Process,0.9743788819875776,0.49960191082802546,0.0,0.49960191082802546,0.0,0.0
Decision Tree,0.968167701863354,0.4964171974522293,0.0,0.4964171974522293,0.0,0.0
Random Forest,0.9736024844720497,0.49920382165605093,0.0,0.49920382165605093,0.0,0.0
Neural Net,0.9751552795031055,0.5,0.0,0.5,0.0,0.0
AdaBoost,0.9751552795031055,0.5,0.0,0.5,0.0,0.0
Naive Bayes,0.9751552795031055,0.5,0.0,0.5,0.0,0.0
QDA,0.9751552795031055,0.5,0.0,0.5,0.0,0.0
Logistic Regression,0.9751552795031055,0.5,0.0,0.5,0.0,0.0
Ridge Classifier,0.9751552795031055,0.5,0.0,0.5,0.0,0.0
