classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.972972972972973,0.9761904761904762,0.9696969696969697,0.9761904761904762,0.9411764705882353,1.0
Linear SVM,1.0,1.0,1.0,1.0,1.0,1.0
RBF SVM,1.0,1.0,1.0,1.0,1.0,1.0
Gaussian Process,0.972972972972973,0.9761904761904762,0.9696969696969697,0.9761904761904762,0.9411764705882353,1.0
Decision Tree,0.9459459459459459,0.9375,0.9333333333333333,0.9375,1.0,0.875
Random Forest,0.972972972972973,0.9761904761904762,0.9696969696969697,0.9761904761904762,0.9411764705882353,1.0
Neural Net,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,0.9459459459459459,0.9523809523809523,0.9411764705882353,0.9523809523809523,0.8888888888888888,1.0
Naive Bayes,0.5675675675675675,0.5,0.0,0.5,0.0,0.0
QDA,0.5675675675675675,0.5,0.0,0.5,0.0,0.0
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0
Ridge Classifier,1.0,1.0,1.0,1.0,1.0,1.0
