,classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score,Project
0,Nearest Neighbors,0.9728260869565216,0.4988057324840764,0.0,0.4988057324840764,0.0,0.0,dropwizard_dropwizard
1,Linear SVM,0.9751552795031057,0.5,0.0,0.5,0.0,0.0,dropwizard_dropwizard
2,RBF SVM,0.9751552795031057,0.5,0.0,0.5,0.0,0.0,dropwizard_dropwizard
3,Gaussian Process,0.9743788819875776,0.4996019108280254,0.0,0.4996019108280254,0.0,0.0,dropwizard_dropwizard
4,Decision Tree,0.968167701863354,0.4964171974522293,0.0,0.4964171974522293,0.0,0.0,dropwizard_dropwizard
5,Random Forest,0.9720496894409938,0.4984076433121019,0.0,0.4984076433121019,0.0,0.0,dropwizard_dropwizard
6,Neural Net,0.9751552795031057,0.5,0.0,0.5,0.0,0.0,dropwizard_dropwizard
7,AdaBoost,0.9751552795031057,0.5,0.0,0.5,0.0,0.0,dropwizard_dropwizard
8,Naive Bayes,0.9751552795031057,0.5,0.0,0.5,0.0,0.0,dropwizard_dropwizard
9,QDA,0.9751552795031057,0.5,0.0,0.5,0.0,0.0,dropwizard_dropwizard
10,Logistic Regression,0.9751552795031057,0.5,0.0,0.5,0.0,0.0,dropwizard_dropwizard
11,Ridge Classifier,0.9751552795031057,0.5,0.0,0.5,0.0,0.0,dropwizard_dropwizard
0,Nearest Neighbors,0.972972972972973,0.9761904761904762,0.9696969696969696,0.9761904761904762,0.9411764705882352,1.0,eBay_parallec
1,Linear SVM,1.0,1.0,1.0,1.0,1.0,1.0,eBay_parallec
2,RBF SVM,1.0,1.0,1.0,1.0,1.0,1.0,eBay_parallec
3,Gaussian Process,0.972972972972973,0.9761904761904762,0.9696969696969696,0.9761904761904762,0.9411764705882352,1.0,eBay_parallec
4,Decision Tree,0.945945945945946,0.9375,0.9333333333333332,0.9375,1.0,0.875,eBay_parallec
5,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,eBay_parallec
6,Neural Net,1.0,1.0,1.0,1.0,1.0,1.0,eBay_parallec
7,AdaBoost,0.945945945945946,0.9523809523809524,0.9411764705882352,0.9523809523809524,0.8888888888888888,1.0,eBay_parallec
8,Naive Bayes,0.5675675675675675,0.5,0.0,0.5,0.0,0.0,eBay_parallec
9,QDA,0.5675675675675675,0.5,0.0,0.5,0.0,0.0,eBay_parallec
10,Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,eBay_parallec
11,Ridge Classifier,1.0,1.0,1.0,1.0,1.0,1.0,eBay_parallec
0,Nearest Neighbors,0.8125,0.5813725490196079,0.2222222222222222,0.5813725490196079,0.1764705882352941,0.3,GrammarViz2_grammarviz2_src
1,Linear SVM,0.8839285714285714,0.6205882352941177,0.3157894736842105,0.6205882352941177,0.3333333333333333,0.3,GrammarViz2_grammarviz2_src
2,RBF SVM,0.8839285714285714,0.6205882352941177,0.3157894736842105,0.6205882352941177,0.3333333333333333,0.3,GrammarViz2_grammarviz2_src
3,Gaussian Process,0.8839285714285714,0.6205882352941177,0.3157894736842105,0.6205882352941177,0.3333333333333333,0.3,GrammarViz2_grammarviz2_src
4,Decision Tree,0.3928571428571428,0.3058823529411765,0.0555555555555555,0.3058823529411764,0.032258064516129,0.2,GrammarViz2_grammarviz2_src
5,Random Forest,0.8214285714285714,0.496078431372549,0.0909090909090909,0.496078431372549,0.0833333333333333,0.1,GrammarViz2_grammarviz2_src
6,Neural Net,0.8839285714285714,0.6205882352941177,0.3157894736842105,0.6205882352941177,0.3333333333333333,0.3,GrammarViz2_grammarviz2_src
7,AdaBoost,0.8214285714285714,0.8117647058823529,0.4444444444444444,0.8117647058823529,0.3076923076923077,0.8,GrammarViz2_grammarviz2_src
8,Naive Bayes,0.9107142857142856,0.5,0.0,0.5,0.0,0.0,GrammarViz2_grammarviz2_src
9,QDA,0.9107142857142856,0.5,0.0,0.5,0.0,0.0,GrammarViz2_grammarviz2_src
10,Logistic Regression,0.875,0.615686274509804,0.3,0.615686274509804,0.3,0.3,GrammarViz2_grammarviz2_src
11,Ridge Classifier,0.875,0.615686274509804,0.3,0.615686274509804,0.3,0.3,GrammarViz2_grammarviz2_src
0,Nearest Neighbors,0.875,0.5,0.0,0.5,0.0,0.0,jMotif_GI
1,Linear SVM,0.9375,0.8928571428571428,0.7692307692307692,0.8928571428571429,0.7142857142857143,0.8333333333333334,jMotif_GI
2,RBF SVM,0.875,0.5,0.0,0.5,0.0,0.0,jMotif_GI
3,Gaussian Process,0.96875,0.9107142857142858,0.8695652173913043,0.9107142857142858,0.9090909090909092,0.8333333333333334,jMotif_GI
4,Decision Tree,0.7916666666666666,0.4523809523809524,0.0,0.4523809523809524,0.0,0.0,jMotif_GI
5,Random Forest,0.875,0.5,0.0,0.5,0.0,0.0,jMotif_GI
6,Neural Net,0.96875,0.9107142857142858,0.8695652173913043,0.9107142857142858,0.9090909090909092,0.8333333333333334,jMotif_GI
7,AdaBoost,0.8645833333333334,0.494047619047619,0.0,0.494047619047619,0.0,0.0,jMotif_GI
8,Naive Bayes,0.875,0.5,0.0,0.5,0.0,0.0,jMotif_GI
9,QDA,0.875,0.5,0.0,0.5,0.0,0.0,jMotif_GI
10,Logistic Regression,0.96875,0.9107142857142858,0.8695652173913043,0.9107142857142858,0.9090909090909092,0.8333333333333334,jMotif_GI
11,Ridge Classifier,0.8645833333333334,0.494047619047619,0.0,0.494047619047619,0.0,0.0,jMotif_GI
0,Nearest Neighbors,0.9583333333333334,0.8409090909090908,0.8108108108108109,0.8409090909090908,1.0,0.6818181818181818,jMotif_SAX
1,Linear SVM,0.9523809523809524,0.8374844333748444,0.7894736842105263,0.8374844333748442,0.9375,0.6818181818181818,jMotif_SAX
2,RBF SVM,0.9523809523809524,0.8374844333748444,0.7894736842105263,0.8374844333748442,0.9375,0.6818181818181818,jMotif_SAX
3,Gaussian Process,0.9583333333333334,0.8409090909090908,0.8108108108108109,0.8409090909090908,1.0,0.6818181818181818,jMotif_SAX
4,Decision Tree,0.9583333333333334,0.8409090909090908,0.8108108108108109,0.8409090909090908,1.0,0.6818181818181818,jMotif_SAX
5,Random Forest,0.9583333333333334,0.8409090909090908,0.8108108108108109,0.8409090909090908,1.0,0.6818181818181818,jMotif_SAX
6,Neural Net,0.9523809523809524,0.8374844333748444,0.7894736842105263,0.8374844333748442,0.9375,0.6818181818181818,jMotif_SAX
7,AdaBoost,0.8690476190476191,0.5,0.0,0.5,0.0,0.0,jMotif_SAX
8,Naive Bayes,0.8690476190476191,0.5,0.0,0.5,0.0,0.0,jMotif_SAX
9,QDA,0.8690476190476191,0.5,0.0,0.5,0.0,0.0,jMotif_SAX
10,Logistic Regression,0.9523809523809524,0.8374844333748444,0.7894736842105263,0.8374844333748442,0.9375,0.6818181818181818,jMotif_SAX
11,Ridge Classifier,0.9523809523809524,0.8374844333748444,0.7894736842105263,0.8374844333748442,0.9375,0.6818181818181818,jMotif_SAX
0,Nearest Neighbors,0.7735849056603774,0.7467700258397932,0.6842105263157895,0.7467700258397932,0.7878787878787878,0.6046511627906976,ksclarke_solr-iso639-filter
1,Linear SVM,0.8207547169811321,0.7864525655223329,0.7323943661971831,0.786452565522333,0.9285714285714286,0.6046511627906976,ksclarke_solr-iso639-filter
2,RBF SVM,0.8207547169811321,0.7790697674418605,0.7164179104477612,0.7790697674418605,1.0,0.5581395348837209,ksclarke_solr-iso639-filter
3,Gaussian Process,0.8301886792452831,0.7943890734588408,0.7428571428571429,0.7943890734588409,0.9629629629629628,0.6046511627906976,ksclarke_solr-iso639-filter
4,Decision Tree,0.8113207547169812,0.7711332595053525,0.7058823529411763,0.7711332595053526,0.96,0.5581395348837209,ksclarke_solr-iso639-filter
5,Random Forest,0.8207547169811321,0.7827611664820967,0.7246376811594203,0.7827611664820968,0.9615384615384616,0.5813953488372093,ksclarke_solr-iso639-filter
6,Neural Net,0.839622641509434,0.8023255813953488,0.7536231884057971,0.8023255813953488,1.0,0.6046511627906976,ksclarke_solr-iso639-filter
7,AdaBoost,0.5566037735849056,0.4682539682539682,0.0,0.4682539682539682,0.0,0.0,ksclarke_solr-iso639-filter
8,Naive Bayes,0.5943396226415094,0.5,0.0,0.5,0.0,0.0,ksclarke_solr-iso639-filter
9,QDA,0.5943396226415094,0.5,0.0,0.5,0.0,0.0,ksclarke_solr-iso639-filter
10,Logistic Regression,0.8018867924528302,0.7742709486895534,0.72,0.7742709486895534,0.84375,0.627906976744186,ksclarke_solr-iso639-filter
11,Ridge Classifier,0.8018867924528302,0.7742709486895534,0.72,0.7742709486895534,0.84375,0.627906976744186,ksclarke_solr-iso639-filter
0,Nearest Neighbors,0.67,0.6009817671809257,0.4406779661016949,0.6009817671809258,0.4642857142857143,0.4193548387096774,mtsar_mtsar
1,Linear SVM,0.64,0.4726507713884992,0.0526315789473684,0.4726507713884993,0.1428571428571428,0.032258064516129,mtsar_mtsar
2,RBF SVM,0.69,0.5621785881252922,0.3111111111111111,0.5621785881252922,0.5,0.2258064516129032,mtsar_mtsar
3,Gaussian Process,0.67,0.5476858345021037,0.2978723404255319,0.5476858345021037,0.4375,0.2258064516129032,mtsar_mtsar
4,Decision Tree,0.66,0.5582047685834503,0.3461538461538461,0.5582047685834501,0.4285714285714285,0.2903225806451613,mtsar_mtsar
5,Random Forest,0.69,0.5266479663394109,0.1621621621621621,0.5266479663394109,0.5,0.0967741935483871,mtsar_mtsar
6,Neural Net,0.64,0.5259467040673211,0.28,0.5259467040673211,0.3684210526315789,0.2258064516129032,mtsar_mtsar
7,AdaBoost,0.61,0.4509116409537166,0.048780487804878,0.4509116409537166,0.1,0.032258064516129,mtsar_mtsar
8,Naive Bayes,0.3,0.4749883122954651,0.453125,0.4749883122954651,0.2989690721649484,0.935483870967742,mtsar_mtsar
9,QDA,0.67,0.4855072463768116,0.0,0.4855072463768116,0.0,0.0,mtsar_mtsar
10,Logistic Regression,0.67,0.5388031790556335,0.2666666666666666,0.5388031790556336,0.4285714285714285,0.1935483870967742,mtsar_mtsar
11,Ridge Classifier,0.65,0.5331930808789154,0.2857142857142857,0.5331930808789154,0.3888888888888889,0.2258064516129032,mtsar_mtsar
0,Nearest Neighbors,0.9443155452436196,0.4963414634146341,0.0,0.4963414634146341,0.0,0.0,steve-community_steve
1,Linear SVM,0.951276102088167,0.5,0.0,0.5,0.0,0.0,steve-community_steve
2,RBF SVM,0.951276102088167,0.5,0.0,0.5,0.0,0.0,steve-community_steve
3,Gaussian Process,0.948955916473318,0.498780487804878,0.0,0.498780487804878,0.0,0.0,steve-community_steve
4,Decision Tree,0.9118329466357308,0.4792682926829268,0.0,0.4792682926829268,0.0,0.0,steve-community_steve
5,Random Forest,0.9443155452436196,0.4963414634146341,0.0,0.4963414634146341,0.0,0.0,steve-community_steve
6,Neural Net,0.9443155452436196,0.4963414634146341,0.0,0.4963414634146341,0.0,0.0,steve-community_steve
7,AdaBoost,0.951276102088167,0.5,0.0,0.5,0.0,0.0,steve-community_steve
8,Naive Bayes,0.951276102088167,0.5,0.0,0.5,0.0,0.0,steve-community_steve
9,QDA,0.951276102088167,0.5,0.0,0.5,0.0,0.0,steve-community_steve
10,Logistic Regression,0.951276102088167,0.5,0.0,0.5,0.0,0.0,steve-community_steve
11,Ridge Classifier,0.951276102088167,0.5,0.0,0.5,0.0,0.0,steve-community_steve
0,Nearest Neighbors,0.956989247311828,0.9427884615384616,0.8571428571428571,0.9427884615384616,0.8,0.9230769230769232,tracee_contextlogger
1,Linear SVM,0.9247311827956988,0.9240384615384616,0.7741935483870968,0.9240384615384616,0.6666666666666666,0.9230769230769232,tracee_contextlogger
2,RBF SVM,0.956989247311828,0.9427884615384616,0.8571428571428571,0.9427884615384616,0.8,0.9230769230769232,tracee_contextlogger
3,Gaussian Process,0.935483870967742,0.9302884615384616,0.8000000000000002,0.9302884615384616,0.7058823529411765,0.9230769230769232,tracee_contextlogger
4,Decision Tree,0.9247311827956988,0.9240384615384616,0.7741935483870968,0.9240384615384616,0.6666666666666666,0.9230769230769232,tracee_contextlogger
5,Random Forest,0.935483870967742,0.9302884615384616,0.8000000000000002,0.9302884615384616,0.7058823529411765,0.9230769230769232,tracee_contextlogger
6,Neural Net,0.935483870967742,0.9302884615384616,0.8000000000000002,0.9302884615384616,0.7058823529411765,0.9230769230769232,tracee_contextlogger
7,AdaBoost,0.8709677419354839,0.5384615384615384,0.1428571428571428,0.5384615384615384,1.0,0.0769230769230769,tracee_contextlogger
8,Naive Bayes,0.8602150537634409,0.5,0.0,0.5,0.0,0.0,tracee_contextlogger
9,QDA,0.8602150537634409,0.5,0.0,0.5,0.0,0.0,tracee_contextlogger
10,Logistic Regression,0.935483870967742,0.9302884615384616,0.8000000000000002,0.9302884615384616,0.7058823529411765,0.9230769230769232,tracee_contextlogger
11,Ridge Classifier,0.9247311827956988,0.9240384615384616,0.7741935483870968,0.9240384615384616,0.6666666666666666,0.9230769230769232,tracee_contextlogger
0,Nearest Neighbors,0.9291666666666668,0.4955555555555556,0.0,0.4955555555555556,0.0,0.0,zixpo_candybar
1,Linear SVM,0.9375,0.5,0.0,0.5,0.0,0.0,zixpo_candybar
2,RBF SVM,0.9375,0.5,0.0,0.5,0.0,0.0,zixpo_candybar
3,Gaussian Process,0.925,0.5244444444444445,0.1,0.5244444444444444,0.2,0.0666666666666666,zixpo_candybar
4,Decision Tree,0.8916666666666667,0.5066666666666667,0.0714285714285714,0.5066666666666666,0.0769230769230769,0.0666666666666666,zixpo_candybar
5,Random Forest,0.9375,0.5,0.0,0.5,0.0,0.0,zixpo_candybar
6,Neural Net,0.9375,0.5311111111111111,0.1176470588235294,0.5311111111111111,0.5,0.0666666666666666,zixpo_candybar
7,AdaBoost,0.925,0.4933333333333333,0.0,0.4933333333333333,0.0,0.0,zixpo_candybar
8,Naive Bayes,0.9375,0.5,0.0,0.5,0.0,0.0,zixpo_candybar
9,QDA,0.9375,0.5,0.0,0.5,0.0,0.0,zixpo_candybar
10,Logistic Regression,0.9333333333333332,0.528888888888889,0.1111111111111111,0.528888888888889,0.3333333333333333,0.0666666666666666,zixpo_candybar
11,Ridge Classifier,0.9375,0.5,0.0,0.5,0.0,0.0,zixpo_candybar
