classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.875,0.5,0.0,0.5,0.0,0.0
Linear SVM,0.9375,0.8928571428571428,0.7692307692307692,0.8928571428571429,0.7142857142857143,0.8333333333333334
RBF SVM,0.875,0.5,0.0,0.5,0.0,0.0
Gaussian Process,0.96875,0.9107142857142858,0.8695652173913043,0.9107142857142858,0.9090909090909091,0.8333333333333334
Decision Tree,0.7916666666666666,0.4523809523809524,0.0,0.4523809523809524,0.0,0.0
Random Forest,0.875,0.5,0.0,0.5,0.0,0.0
Neural Net,0.96875,0.9107142857142858,0.8695652173913043,0.9107142857142858,0.9090909090909091,0.8333333333333334
AdaBoost,0.8645833333333334,0.49404761904761907,0.0,0.49404761904761907,0.0,0.0
Naive Bayes,0.875,0.5,0.0,0.5,0.0,0.0
QDA,0.875,0.5,0.0,0.5,0.0,0.0
Logistic Regression,0.96875,0.9107142857142858,0.8695652173913043,0.9107142857142858,0.9090909090909091,0.8333333333333334
Ridge Classifier,0.8645833333333334,0.49404761904761907,0.0,0.49404761904761907,0.0,0.0
