classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.9583333333333334,0.8409090909090908,0.8108108108108109,0.8409090909090908,1.0,0.6818181818181818
Linear SVM,0.9523809523809523,0.8374844333748444,0.7894736842105263,0.8374844333748442,0.9375,0.6818181818181818
RBF SVM,0.9523809523809523,0.8374844333748444,0.7894736842105263,0.8374844333748442,0.9375,0.6818181818181818
Gaussian Process,0.9583333333333334,0.8409090909090908,0.8108108108108109,0.8409090909090908,1.0,0.6818181818181818
Decision Tree,0.9583333333333334,0.8409090909090908,0.8108108108108109,0.8409090909090908,1.0,0.6818181818181818
Random Forest,0.9583333333333334,0.8409090909090908,0.8108108108108109,0.8409090909090908,1.0,0.6818181818181818
Neural Net,0.9523809523809523,0.8374844333748444,0.7894736842105263,0.8374844333748442,0.9375,0.6818181818181818
AdaBoost,0.8690476190476191,0.5,0.0,0.5,0.0,0.0
Naive Bayes,0.8690476190476191,0.5,0.0,0.5,0.0,0.0
QDA,0.8690476190476191,0.5,0.0,0.5,0.0,0.0
Logistic Regression,0.9523809523809523,0.8374844333748444,0.7894736842105263,0.8374844333748442,0.9375,0.6818181818181818
Ridge Classifier,0.9523809523809523,0.8374844333748444,0.7894736842105263,0.8374844333748442,0.9375,0.6818181818181818
