classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.7735849056603774,0.7467700258397932,0.6842105263157895,0.7467700258397932,0.7878787878787878,0.6046511627906976
Linear SVM,0.8207547169811321,0.7864525655223329,0.7323943661971831,0.786452565522333,0.9285714285714286,0.6046511627906976
RBF SVM,0.8207547169811321,0.7790697674418605,0.7164179104477612,0.7790697674418605,1.0,0.5581395348837209
Gaussian Process,0.8301886792452831,0.7943890734588408,0.7428571428571429,0.7943890734588409,0.9629629629629629,0.6046511627906976
Decision Tree,0.8113207547169812,0.7711332595053525,0.7058823529411763,0.7711332595053526,0.96,0.5581395348837209
Random Forest,0.8207547169811321,0.7827611664820967,0.7246376811594203,0.7827611664820968,0.9615384615384616,0.5813953488372093
Neural Net,0.839622641509434,0.8023255813953488,0.7536231884057971,0.8023255813953488,1.0,0.6046511627906976
AdaBoost,0.5566037735849056,0.46825396825396826,0.0,0.46825396825396826,0.0,0.0
Naive Bayes,0.5943396226415094,0.5,0.0,0.5,0.0,0.0
QDA,0.5943396226415094,0.5,0.0,0.5,0.0,0.0
Logistic Regression,0.8018867924528302,0.7742709486895534,0.72,0.7742709486895534,0.84375,0.627906976744186
Ridge Classifier,0.8018867924528302,0.7742709486895534,0.72,0.7742709486895534,0.84375,0.627906976744186
