classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.956989247311828,0.9427884615384616,0.8571428571428571,0.9427884615384616,0.8,0.9230769230769231
Linear SVM,0.9247311827956989,0.9240384615384616,0.7741935483870968,0.9240384615384616,0.6666666666666666,0.9230769230769231
RBF SVM,0.956989247311828,0.9427884615384616,0.8571428571428571,0.9427884615384616,0.8,0.9230769230769231
Gaussian Process,0.9354838709677419,0.9302884615384616,0.8000000000000002,0.9302884615384616,0.7058823529411765,0.9230769230769231
Decision Tree,0.9247311827956989,0.9240384615384616,0.7741935483870968,0.9240384615384616,0.6666666666666666,0.9230769230769231
Random Forest,0.9354838709677419,0.9302884615384616,0.8000000000000002,0.9302884615384616,0.7058823529411765,0.9230769230769231
Neural Net,0.9354838709677419,0.9302884615384616,0.8000000000000002,0.9302884615384616,0.7058823529411765,0.9230769230769231
AdaBoost,0.8709677419354839,0.5384615384615384,0.14285714285714288,0.5384615384615384,1.0,0.07692307692307693
Naive Bayes,0.8602150537634409,0.5,0.0,0.5,0.0,0.0
QDA,0.8602150537634409,0.5,0.0,0.5,0.0,0.0
Logistic Regression,0.9354838709677419,0.9302884615384616,0.8000000000000002,0.9302884615384616,0.7058823529411765,0.9230769230769231
Ridge Classifier,0.9247311827956989,0.9240384615384616,0.7741935483870968,0.9240384615384616,0.6666666666666666,0.9230769230769231
