classifier,accuracy_score,balanced_accuracy_score,f1_score,roc_auc_score,precision_score,recall_score
Nearest Neighbors,0.9291666666666667,0.4955555555555556,0.0,0.4955555555555556,0.0,0.0
Linear SVM,0.9375,0.5,0.0,0.5,0.0,0.0
RBF SVM,0.9375,0.5,0.0,0.5,0.0,0.0
Gaussian Process,0.925,0.5244444444444445,0.1,0.5244444444444444,0.2,0.06666666666666667
Decision Tree,0.8875,0.5044444444444445,0.0689655172413793,0.5044444444444444,0.07142857142857142,0.06666666666666667
Random Forest,0.9416666666666667,0.5333333333333333,0.125,0.5333333333333333,1.0,0.06666666666666667
Neural Net,0.9375,0.5311111111111111,0.11764705882352941,0.5311111111111111,0.5,0.06666666666666667
AdaBoost,0.925,0.49333333333333335,0.0,0.49333333333333335,0.0,0.0
Naive Bayes,0.9375,0.5,0.0,0.5,0.0,0.0
QDA,0.9375,0.5,0.0,0.5,0.0,0.0
Logistic Regression,0.9333333333333333,0.528888888888889,0.1111111111111111,0.528888888888889,0.3333333333333333,0.06666666666666667
Ridge Classifier,0.9375,0.5,0.0,0.5,0.0,0.0
