DIFF_ND,DIFF_NF,DIFF_EN,SIZE_LA,SIZE_LD,PURP_FIX,PURP_MR,SKIP_DOC,SKIP_MET,SKIP_COM,SKIP_FRM,SKIP_BLD,LABEL,CM_add,CM_csv,CM_dependencies,CM_dropwizard,CM_fix,CM_make,CM_mtsar,CM_process,CM_update,CM_use
0,2,0.20761245674740492,6,11,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,2,0.4444444444444444,5,4,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
1,2,0.31999999999999984,5,5,0,0,1,0,0,0,0,0,0.0,0.0,0.6301773968342085,0.6379673409973876,0.0,0.0,0.0,0.0,0.44257668300531083,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.8216451339590656,0.0,0.0,0.0,0.0,0.5699993630184066,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,2,0.4885215794306703,14,19,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,4,4,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
